CONTAINER_NUMBER,VESSEL_NAME,FREIGHT_FORWARDER,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,LAST_TRACKED_WITH_VESSEL,DELIVERED_FLAG,DELIVERED_DATE,Another NEW Predicated Delivery Date
FCIU8573349,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/18/2021,5/19/2021,7/17/2021,7/15/2021,8/3/2021,8/3/2021,Yes,7/21/2021,?
TGBU9903815,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/18/2021,5/19/2021,7/23/2021,7/21/2021,8/9/2021,7/26/2021,Yes,7/27/2021,?
TCNU3242533,OOCL LUXEMBOURG,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",4/11/2021,4/17/2021,5/5/2021,6/7/2021,6/11/2021,6/20/2021,Yes,6/16/2021,?
FCIU8623774,MSC ORION,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",5/19/2021,5/20/2021,7/15/2021,7/12/2021,7/19/2021,8/24/2021,Yes,7/20/2021,?
FCIU9776905,COSCO ENGLAND,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",5/18/2021,5/24/2021,6/11/2021,6/22/2021,6/26/2021,6/26/2021,Yes,6/28/2021,?
TRHU8545259,COSCO SHIPPING ANDES,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",5/21/2021,6/5/2021,6/24/2021,7/9/2021,7/13/2021,7/30/2021,Yes,7/14/2021,?
OOCU4974982,HUI HAI LONG 06,CIF,"Zhuhai, Guangdong Sheng, China","Zhuhai, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",4/2/2021,4/2/2021,5/1/2021,6/1/2021,6/5/2021,7/30/2021,Yes,6/18/2021,?
TCLU4576754,CONTI CORDOBA,,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Los Angeles, California, United States","Ferris, Texas, United States",7/27/2020,8/4/2020,8/23/2020,9/4/2020,9/8/2020,4/21/2021,,,?
FFAU3146075,APL YANGSHAN,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",4/1/2021,4/7/2021,4/23/2021,4/26/2021,5/10/2021,4/21/2021,,,?
OOLU2828645,OOCL TOKYO,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",4/10/2020,4/12/2020,4/30/2020,5/7/2020,5/11/2020,4/21/2021,,,?
